Filename,Source,Subtopic,Resource type,Processed
https://docs.oracle.com/javase/tutorial/essential/exceptions/index.html ,external,Java,Webpage,Y
https://www.geeksforgeeks.org/types-of-exception-in-java-with-examples/ ,external,Java,Webpage,Y
https://www.geeksforgeeks.org/basics-of-git/ ,external,Git (version control),Webpage,Y
https://git-scm.com/book/en/v2/Getting-Started-About-Version-Control#,external,Git (version control),Webpage,Y
https://git-scm.com/book/en/v2/Getting-Started-Installing-Git,external,Git (version control),Webpage,Y
https://git-scm.com/book/en/v2/Getting-Started-First-Time-Git-Setup,external,Git (version control),Webpage,Y
https://git-scm.com/book/en/v2/Git-Branching-Basic-Branching-and-Merging,external,Git (version control),Webpage,Y
https://www.geeksforgeeks.org/branching-strategies-in-git/,external,Git (version control),Webpage,Y
https://git-scm.com/book/en/v2/Git-Branching-Branches-in-a-Nutshell ,external,Git (version control),Webpage,Y
https://git-scm.com/docs/git-branch ,external,Git (version control),Webpage,Y
https://gitscripts.com/git-branching-strategy-for-multiple-environments ,external,Git (version control),Webpage,Y
https://git.github.io/git-reference/branching/ ,external,Git (version control),Webpage,Y
https://www.geeksforgeeks.org/git-flow/ ,external,Git (version control),Webpage,Y
https://www.geeksforgeeks.org/introduction-of-object-oriented-programming/,external,OOP,Webpage,Y
https://brilliant.org/wiki/object-oriented-programming/,external,OOP,Webpage,Y
https://www.geeksforgeeks.org/python-oops-concepts/,external,OOP,Webpage,Y
https://www.oracle.com/java/technologies/oop.html,external,OOP,Webpage,N
https://www.coursera.org/learn/concepts-of-object-oriented-programming,external,OOP,Webpage,Y
https://www.geeksforgeeks.org/oops-object-oriented-design/,external,OOP,Webpage,Y
https://www.geeksforgeeks.org/solid-principle-in-programming-understand-with-real-life-examples/,external,OOP,Webpage,Y
https://www.baeldung.com/solid-principles,external,OOP,Webpage,Y
https://www.geeksforgeeks.org/software-engineering-agile-software-development/,external,Agile Process,Webpage,Y
https://www.geeksforgeeks.org/what-is-agile-methodology/,external,Agile Process,Webpage,Y
https://www.geeksforgeeks.org/agile-software-process-and-its-principles/,external,Agile Process,Webpage,Y
https://www.pmi.org/disciplined-agile/agile/theagilemanifesto,external,Agile Process,Webpage,Y
https://learn.microsoft.com/en-us/devops/plan/what-is-agile,external,Agile Process,Webpage,Y
https://www.coursera.org/articles/what-is-agile-a-beginners-guide,external,Agile Process,Webpage,N
https://www.geeksforgeeks.org/test-driven-development-tdd/,external,Agile Process,Webpage,Y
https://www.agilealliance.org/glossary/tdd/,external,Agile Process,Webpage,Y
https://developer.ibm.com/articles/5-steps-of-test-driven-development/,external,Agile Process,Webpage,Y
https://www.atlassian.com/agile/project-management/waterfall-methodology,external,Waterfall method,Webpage,N
https://www.forbes.com/advisor/business/what-is-waterfall-methodology/,external,Waterfall method,Webpage,Y
https://www.geeksforgeeks.org/waterfall-model/,external,Waterfall method,Webpage,Y
https://www.geeksforgeeks.org/pair-programming/,external,Paired Programing,Webpage,Y
https://www.baeldung.com/cs/pair-programming,external,Paired Programing,Webpage,Y
